label,inferred_smarts,llm_output
O=C([O][R])C([S][R])[N]([R])[C](=O)[R],O=C(O*)C(S*)N(*)C(=O)*,acylamino thioacetic ester
O=S1(=O)N=C([N]([R])[R])C([N]([R])[R])=N1,O=S1(=O)N=C(N(*)*)C(N(*)*)=N1,sulfamoyl aminothiadiazole
N#C[N]([R])[S](=O)(=O)[R],N#CN(*)S(=O)(=O)*,cyanoguanidine sulfonamide
O=C(C=CC(=O)[N]([R])[N]([R])[C](=O)[R])[O][R],O=C(C=CC(=O)N(*)N(*)C(=O)*)O*,acylhydrazino butenoate
O=C[N](O)[R],O=CN(O)*,n-hydroxy amide
O=[C]([R])[C]([Nar+])=C([S-])[N]([R])[C](=O)[R],O=C(*)C([n&+])=C([S&-])N(*)C(=O)*,dicarbonyl pyridinium thiolate
O=[C]([R])[N]([R])C=C[S](=O)(=O)[R],O=C(*)N(*)C=CS(=O)(=O)*,sulfonyl enamine
C=N[N]([R])C(=O)C([O][R])[O][R],C=NN(*)C(=O)C(O*)O*,dihydroxypyrazolone
C=C=NC(=O)C(=O)C=C=[N][R],C=C=NC(=O)C(=O)C=C=N*,bis-ketenimine alpha-diketone
O=C1C(=O)[N]([R])C[N]1[R],O=C1C(=O)N(*)CN1*,"azetidine-2,3-dione"
O=C([O][R])C1=CSCN1[C](=O)[R],O=C(O*)C1=CSCN1C(=O)*,penem ester
O=C([S][R])[N]([R])C(=O)[N]([R])[R],O=C(S*)N(*)C(=O)N(*)*,thiocarbamate urea
C=C1SC([N]([R])[N]([R])[R])=NC1=O,C=C1SC(N(*)N(*)*)=NC1=O,5-alkylidene-2-hydrazinylthiazol-4-one
O=[C]([R])[N]([R])C(=O)C=[N][R],O=C(*)N(*)C(=O)C=N*,n-acyl alpha-imino carbonyl
N#CC(=N[O][R])C(=O)[N]([R])C(=O)[N]([R])[R],N#CC(=NO*)C(=O)N(*)C(=O)N(*)*,alpha cyano oxime acyl ureas
O=C(c1c[n]([R])c(=N[S](=O)(=O)[R])s1)[N]([R])[R],O=C(c1cn(*)c(=NS(=O)(=O)*)s1)N(*)*,thiazole amide sulfonylimine
N#CC(=NO)C(=O)[N]([R])[R],N#CC(=NO)C(=O)N(*)*,2-cyano-2-hydroxyimino acetamides
O=C(c1ccc(=N[S](=O)(=O)[R])[n]([R])c1)[N]([R])C(=[N][R])[S][R],O=C(c1ccc(=NS(=O)(=O)*)n(*)c1)N(*)C(=N*)S*,sulfonylimino pyridine thioamidine amide
O=[C]([R])[N]([R])C=N[N]([R])[C](=O)[R],O=C(*)N(*)C=NN(*)C(=O)*,amide hydrazone amide
C=CC=C[N]([R])C(=O)[N]([R])[R],C=CC=CN(*)C(=O)N(*)*,dienyl urea
ON=C[O][R],ON=CO*,hydroxyimino ether
O=C([N]([R])[R])[N]([R])C[S][R],O=C(N(*)*)N(*)CS*,thioether urea substituent
C=C(C(=O)C(=O)[N]([R])[R])[N]([R])[C](=O)[R],C=C(C(=O)C(=O)N(*)*)N(*)C(=O)*,oxomalonamoyl acylamino vinyl
O=C1C(N(CO)C(=O)[N]([R])CO)N(CO)C(=O)N1CO,O=C1C(N(CO)C(=O)N(*)CO)N(CO)C(=O)N1CO,imidazolidinyl urea
O=[C]([R])[N]([R])CSC(=[N][R])[S][R],O=C(*)N(*)CSC(=N*)S*,thiadiazolyl amide with sulfur substituent
O=[C]([R])[N]([R])N=CC(=O)[N]([R])[N]([R])[C](=O)[R],O=C(*)N(*)N=CC(=O)N(*)N(*)C(=O)*,heterocyclic ketone carbohydrazide
O=C(C(=C[O][R])[O][R])[N]([R])[Nar],O=C(C(=CO*)O*)N(*)n,carboxamide with alpha enol ether and ether on aromatic nitrogen
O=C([N]([R])[R])[N]([R])[N]([R])C(=O)[N]([R])[R],O=C(N(*)*)N(*)N(*)C(=O)N(*)*,hydrazine diamide
O=C([O][R])[N]([R])[N]([R])C=S,O=C(O*)N(*)N(*)C=S,thioacyl hydrazine carbamate
O=C([N]([R])[R])[N]([R])[N]([R])C(=S)[N]([R])[R],O=C(N(*)*)N(*)N(*)C(=S)N(*)*,carbamothioylamino urea
O=C(C=[CH][Nar])[N]([R])[N]([R])[R],O=C(C=[C&H1]n)N(*)N(*)*,enone carbohydrazide heterocycle
C#CC=CC(=O)[N](O)[R],C#CC=CC(=O)N(O)*,enynoic hydroxamic acid
O=[C]([R])[N]([R])OCO[N]([R])[C](=O)[R],O=C(*)N(*)OCON(*)C(=O)*,bis amide carbonate
O=[C]([R])[N]([R])P(=O)([N]([R])[R])[N]([R])[R],O=C(*)N(*)P(=O)(N(*)*)N(*)*,n-diaminophosphoryl carbonyl
O=C(O)C=NO,O=C(O)C=NO,hydroxyimino carboxylic acid
C=N[N]([R])C(=O)C=CC(=O)O,C=NN(*)C(=O)C=CC(=O)O,β-keto acrylic acid hydrazone
O=C(O)C=CO[C](=O)[R],O=C(O)C=COC(=O)*,beta acyloxy acrylic acid
O=C(O)C([C](=O)[R])=C([N]([R])[R])[N]([R])[R],O=C(O)C(C(=O)*)=C(N(*)*)N(*)*,diamino vinyl ketone carboxylic acid
O=CC(=O)O,O=CC(=O)O,alpha keto acid
O=C(O)c1c[n]([R])c(=N[S](=O)(=O)[R])s1,O=C(O)c1cn(*)c(=NS(=O)(=O)*)s1,sulfonylimine carboxy thiazole
O=C(O)C1=C([N]([R])[R])[O][R][C]1=O,O=C(O)C1=C(N(*)*)O*C1=O,2-amino-4-oxofuran-3-carboxylic acid
O=C(O)C1=NCN=N1,O=C(O)C1=NCN=N1,"1,2,4-triazole carboxylic acid"
O=[C]([R])[N]([R])c1ccccccccccccc1,O=C(*)N(*)c1ccccccccccccc1,polycyclic aryl amide
O=[C]1O[B]([R])[O][R]1,O=C1OB(*)O*1,dioxaborolanone
O=P([O][Na])([O][Na])[N]([R])C(=[N][R])[N]([R])[R],O=P(O[#11])(O[#11])N(*)C(=N*)N(*)*,sodium phosphono guanidine
O=C(C(=CO)C(=O)[N]([R])[R])[N]([R])[R],O=C(C(=CO)C(=O)N(*)*)N(*)*,4-hydroxy-2-oxo-3-carboxamide
O=[C]([R])C(O)[S][R],O=C(*)C(O)S*,alpha hydroxy sulfanyl carbonyl
O=[C]([R])OC=C[S][R],O=C(*)OC=CS*,vinyl sulfide ester
O=[C]([R])[O][Eu]([OH])([OH])([O][C](=O)[R])[O][C](=O)[R],O=C(*)O[#63]([O&H1])([O&H1])(OC(=O)*)OC(=O)*,europium tricarboxylate dihydroxide
O=[C]([R])[O][Lu]([OH])([OH])([O][C](=O)[R])[O][C](=O)[R],O=C(*)O[#71]([O&H1])([O&H1])(OC(=O)*)OC(=O)*,lutetium ester hydroxyl complex
O=[C]([R])[O][Tb]([O][C](=O)[R])[O][C](=O)[R],O=C(*)O[#65](OC(=O)*)OC(=O)*,terbium tricarboxylate
C=COC(=O)C=C,C=COC(=O)C=C,vinyl acrylate
C=CC1=NC(=C)C(=O)O1,C=CC1=NC(=C)C(=O)O1,4-alkylidene-2-vinyl oxazolone
O=C([O][R])C(C(=O)[O][R])=C1SC=CS1,O=C(O*)C(C(=O)O*)=C1SC=CS1,dithiolylidene malonate
O=C(C=CN=C([N]([R])[R])[N]([R])[R])[O][R],O=C(C=CN=C(N(*)*)N(*)*)O*,enaminamidine ester
C=CC(=O)[S][R],C=CC(=O)S*,enoyl thioester
O=C(C=CC(=O)C(O)([O][R])C(O)O)[O][R],O=C(C=CC(=O)C(O)(O*)C(O)O)O*,beta keto diacid ester
O=C(OC=C[O][R])[N]([R])[R],O=C(OC=CO*)N(*)*,enol ether carbamate
O=C([O][R])[N]([R])S[N]([R])[R],O=C(O*)N(*)SN(*)*,sulfamoyl carbamate
O=C([O][R])C(=O)[O][R],O=C(O*)C(=O)O*,oxalate
O=C([O][R])C(=C[N]([R])[R])[S][R],O=C(O*)C(=CN(*)*)S*,3-aminothiophene-2-carboxylate
O=C([O][R])c1ccc(=N[S](=O)(=O)[R])[n]([R])c1,O=C(O*)c1ccc(=NS(=O)(=O)*)n(*)c1,1-substituted-5-sulfonyliminopyridine-2-carboxylate
O=[C]([R])ON=C([S][R])[C](=O)[R],O=C(*)ON=C(S*)C(=O)*,acyloxy imidothioate
O=C(O)C(=C[S][R])N(C[S][R])[C](=O)[R],O=C(O)C(=CS*)N(CS*)C(=O)*,dithiomalonate
O=P(O)(O)[N]([R])[R],O=P(O)(O)N(*)*,phosphoramidate
O=C1C=COS(=O)(=O)[N]1[R],O=C1C=COS(=O)(=O)N1*,oxathiazinone sulfone
C=CC=C([O][R])[C](=O)[R],C=CC=C(O*)C(=O)*,beta-hydroxy enone
O=[C]([R])C(=C[N]([R])[R])[S][R],O=C(*)C(=CN(*)*)S*,thiophene enaminone
C=C1N=CN(O)C1=O,C=C1N=CN(O)C1=O,n oxide imidazolone
O=C1C=C([N]([R])[R])C=CC1=N[N]([R])C(=O)[N]([R])[R],O=C1C=C(N(*)*)C=CC1=NN(*)C(=O)N(*)*,ortho hydroxy aryl semicarbazone
C=CC(=O)C(O)=CC(=C[N]([R])[R])C(=O)[O][R],C=CC(=O)C(O)=CC(=CN(*)*)C(=O)O*,conjugated enaminone carboxylate
C=CC(O)=C([C](=O)[R])[C](=O)[R],C=CC(O)=C(C(=O)*)C(=O)*,hydroxy oxo heterocycle
O=[C]([R])C(=O)[N]([R])C[N]([R])[R],O=C(*)C(=O)N(*)CN(*)*,oxalyl amide methyl amine
C=C1OC([N]([R])[R])=C(C(=O)[O][R])C1=O,C=C1OC(N(*)*)=C(C(=O)O*)C1=O,5-alkylidene-2-amino-4-oxofuran-3-carboxylate
O=C(C=CO)[N]([R])[R],O=C(C=CO)N(*)*,1-hydroxyvinyl amide
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,perchloroquinone
O=[C]([Nar])C=[N][R],O=C(n)C=N*,heteroaryl carbonyl imine
O=[C]([R])C(O)(O)[C](=O)[R],O=C(*)C(O)(O)C(=O)*,geminal diol dicarbonyl
O=C1C=C([N]([R])[R])C(=O)C=C1O,O=C1C=C(N(*)*)C(=O)C=C1O,"3-amino-6-oxy-1,4-cyclohexadienedione"
O=[C]([R])N=CC=C(O)[C](=O)[R],O=C(*)N=CC=C(O)C(=O)*,acyl imine enol carbonyl
O=C(C(O)[O][R])[N](O)[R],O=C(C(O)O*)N(O)*,gem dioxy n-oxy amide
O=[C]([R])N=c1cc[n]([R])[n]1[R],O=C(*)N=c1ccn(*)n1*,imidazole amidine
C=C1CO1,C=C1CO1,alkylidene oxirane
O=[C]([R])C(=O)C=C[N]([R])[R],O=C(*)C(=O)C=CN(*)*,12 dicarbonyl enamine
O=C1C=CC(=N[N]([R])[R])C(O)=C1,O=C1C=CC(=NN(*)*)C(O)=C1,hydrazinylidene hydroxyquinone
C=C1C=CC(=O)C(O)=C1,C=C1C=CC(=O)C(O)=C1,hydroxy quinone with exocyclic methylene
O=C1C=CC(=C2C=C[N]([R])C=C2)C=C1,O=C1C=CC(=C2C=CN(*)C=C2)C=C1,quinone pyridinylidene
O=C1C=CC(=CC=C2C=C[N]([R])C=C2)C=C1,O=C1C=CC(=CC=C2C=CN(*)C=C2)C=C1,quinone vinyl pyridinium
O=[C]([R])OC1OC=CC1=O,O=C(*)OC1OC=CC1=O,3-oxofuran-2-yl ester
C=CC=CC(=O)[N]([R])C(=C[C](=O)[R])[C](=O)[R],C=CC=CC(=O)N(*)C(=CC(=O)*)C(=O)*,"n-(1,1-dicarbonylvinyl) dienamide"
O=[C]([R])C(=C[S][R])[C](=O)[R],O=C(*)C(=CS*)C(=O)*,"1,1-dicarbonyl vinyl sulfide"
O=[C]([R])N([C](=O)[R])N([C](=O)[R])[C](=O)[R],O=C(*)N(C(=O)*)N(C(=O)*)C(=O)*,tetracarbonyl diamide
O=[C]([R])N([C](=O)[R])S(=O)(=O)[N]([R])[R],O=C(*)N(C(=O)*)S(=O)(=O)N(*)*,diacylamino sulfonamide
O=C(C([N]([R])[R])[N]([R])[R])[N]([R])[R],O=C(C(N(*)*)N(*)*)N(*)*,diamino carbonyl
[R][N]=CO[O][R],*N=COO*,six membered aromatic ring
O=C(C([S][R])[N]([R])[C](=O)[R])[N]([R])C(=[N][R])[S][R],O=C(C(S*)N(*)C(=O)*)N(*)C(=N*)S*,amide with thioamidine
O=C([O][R])ON([C](=O)[R])[C](=O)[R],O=C(O*)ON(C(=O)*)C(=O)*,hydroxyimide ester
C=CS[C](=O)[R],C=CSC(=O)*,vinyl thioester
O=C(C=COC([O][R])[O][R])[O][R],O=C(C=COC(O*)O*)O*,dialkoxymethoxy acrylate
O=[C]([R])C=C[N]([R])C(=[N][R])[N]([R])[R],O=C(*)C=CN(*)C(=N*)N(*)*,triazolopyrimidine carbonyl
O=C(C=N[O][R])[N]([R])C1=[N][R][C](=O)[N]1[R],O=C(C=NO*)N(*)C1=N*C(=O)N1*,n dihydroazolyl oximino acetamide
O=[C]([R])[N]([R])N1[C](=O)[R][S]C1=S,O=C(*)N(*)N1C(=O)*SC1=S,rhodanine-3-amide
C=C(C=C([S][R])[S][R])N=C1[S][R][C](=O)[N]1[R],C=C(C=C(S*)S*)N=C1S*C(=O)N1*,dithio vinyl thiazetidinone
O=[C]1[R][S]C2=NC[N]([R])CN12,O=C1*SC2=NCN(*)CN12,thiazolotriazinone
O=[C]([R])N([C](=O)[R])C(=[N][R])[S][R],O=C(*)N(C(=O)*)C(=N*)S*,thioimidoyl imide
C=CC([N]([R])[R])[N]([R])[C](=O)[R],C=CC(N(*)*)N(*)C(=O)*,vinyl amino amide
O=C([N]([R])C[N]([R])[R])[N]([R])C[N]([R])[R],O=C(N(*)CN(*)*)N(*)CN(*)*,urea methylene diamines
O=[C]1[R][N]([R])C(=O)N1COP(=O)([O][Na])[O][Na],O=C1*N(*)C(=O)N1COP(=O)(O[#11])O[#11],disodium phosphomethyl hydantoin
O=[C]([R])N(C[O][R])[O][R],O=C(*)N(CO*)O*,alkoxyalkyl alkoxy amino carbonyl
O=[C]([R])N([S][R])[C](=O)[R],O=C(*)N(S*)C(=O)*,n sulfanyl diacylamine
O=C1[N]([R])COC(=[N][R])[N]1[R],O=C1N(*)COC(=N*)N1*,oxyimino oxadiazinanedione
C=C1C(=O)OC(=O)[N]1[R],C=C1C(=O)OC(=O)N1*,4 alkylidene oxazolidinedione
C=C1SC([N]([R])[S](=O)(=O)[R])=NC1=O,C=C1SC(N(*)S(=O)(=O)*)=NC1=O,sulfonamido alkylidene thiazolone
O=[C]1N=C2C=CC=C[N]2[R]1,O=C1N=C2C=CC=CN2*1,fused pyridone
O=C([N]=[Car])C([C](=[Car])[N]([R])[R])=C([N]([R])[R])[N]([R])[R],O=C(N=c)C(C(=c)N(*)*)=C(N(*)*)N(*)*,amido enamino amidine
O=C([O-])C(=C[S][R])[N]([R])[C](=O)[R],O=C([O&-])C(=CS*)N(*)C(=O)*,penem carboxylate core
[R][S][C](=[Car])[S][R],*SC(=c)S*,thiophene-2-sulfur substituent
C=C[N]=[Car],C=CN=c,aromatic vinylimine
O=[C]([R])[C](=O)[Nar],O=C(*)C(=O)n,aromatic alpha keto amide
O=[C]([R])[N]([R])C(=O)C=C[N]([R])[R],O=C(*)N(*)C(=O)C=CN(*)*,enaminone imide
O=[C]([R])[N]([R])C(=O)C=C[N]([R])[N]([R])[S](=O)(=O)[R],O=C(*)N(*)C(=O)C=CN(*)N(*)S(=O)(=O)*,imide vinyl sulfonohydrazide
[R][N]=c1cncc[n]1[R],*N=c1cnccn1*,2 iminoimidazole
C=NN=[N][R],C=NN=N*,triazole
O=C1C2=C[N]([R])[N]([R])C2=NC[N]1[R],O=C1C2=CN(*)N(*)C2=NCN1*,pyrazolopyrimidinone core
O=C1C=COC[N]1[R],O=C1C=COCN1*,"1,3-oxazin-4-one"
O=C(C1SC=N[N]1[R])[N]([R])[R],O=C(C1SC=NN1*)N(*)*,thiadiazoline carboxamide
O=[C]([R])C(=CC(=O)[N]([R])[R])[N]([R])[R],O=C(*)C(=CC(=O)N(*)*)N(*)*,vicinal dicarboxamide
O=C(C=C([N]=[Car])[C](=[Car])[N](O)[R])[N]([R])[R],O=C(C=C(N=c)C(=c)N(O)*)N(*)*,aryl enaminone aryl imine N-oxide
O=C(C=C[N]([R])[N]([R])[R])[N]([R])[R],O=C(C=CN(*)N(*)*)N(*)*,beta hydrazino acrylamide
O=C([O][R])[N]([R])C(=O)[N]([R])[R],O=C(O*)N(*)C(=O)N(*)*,carbamoyl carbamate
O=[C]([R])C=C(C(=O)[N]([R])[R])[N]([R])[R],O=C(*)C=C(C(=O)N(*)*)N(*)*,maleimide-like
C=N[N]([R])C(=O)C=N[N]([R])[C](=O)[R],C=NN(*)C(=O)C=NN(*)C(=O)*,hydrazone dicarbonyl chain
O=[C]1[R][N]([R])[C]([Nar])=N[N]1[R],O=C1*N(*)C(n)=NN1*,fused triazinone
O=C1[N]([R])[N]([R])C(O)=CC1([O][R])[O][R],O=C1N(*)N(*)C(O)=CC1(O*)O*,pyrimidine hydroxy trione
O=[C]([R])OC=CBr,O=C(*)OC=CBr,bromovinyl ester
C=CC=C1C=CC(=O)O1,C=CC=C1C=CC(=O)O1,5 alkylidenefuran 2 one
C=CC=C1C=COC1=O,C=CC=C1C=COC1=O,benzylidene furanone
O=C1OC=NC1=C[N]([R])[R],O=C1OC=NC1=CN(*)*,oxazolone enamines
O=C1CO1,O=C1CO1,oxiranones
C=C1OC(=O)C=C1C(O)[O][R],C=C1OC(=O)C=C1C(O)O*,hydroxyalkyl alkylidene butenolide
O=[C]([R])C=C(C(=O)[O][R])[N]([R])[R],O=C(*)C=C(C(=O)O*)N(*)*,beta enamino ester ketone
O=[C]1OC[N]([C](=O)[R])[R]1,O=C1OCN(C(=O)*)*1,n-acyl oxazolidinone
O=C1SC=CC1=C[N]([R])[R],O=C1SC=CC1=CN(*)*,enaminylidene dihydrothiophenone
C=CC=CC=O,C=CC=CC=O,conjugated diene carbonyl
O=CC=CO,O=CC=CO,conjugated enol carbonyl
O=CC=C[O][R],O=CC=CO*,vinylogous ester
C=C[N]([R])C=O,C=CN(*)C=O,tertiary anilide
C=CC(=O)[N]([R])C=O,C=CC(=O)N(*)C=O,vinyl imide
O=C[N]([R])C(=O)N=C[N]([R])[R],O=CN(*)C(=O)N=CN(*)*,amidinyl imide
O=NC(=C[N]([R])[R])[S][R],O=NC(=CN(*)*)S*,nitroso enamine thioether
O=N[N](O)[R],O=NN(O)*,n-nitroso-n-oxyamine
O=[C]([R])OP(=O)(O)O,O=C(*)OP(=O)(O)O,acyl phosphate
O=[P]([R])([O][Na])OP(=O)([O][Na])[O][R],O=P(*)(O[#11])OP(=O)(O[#11])O*,disodium pyrophosphate diester
O=[P]([R])([O][Na])[O][Na],O=P(*)(O[#11])O[#11],disodium phosphate
O=[P](O)([R])C([O][R])[O][R],O=P(O)(*)C(O*)O*,geminal dioxyalkyl phosphonate
O=P(O)([N]([R])[R])[N]([R])[R],O=P(O)(N(*)*)N(*)*,phosphoramidate
C=CP(=O)(O)C=C,C=CP(=O)(O)C=C,divinylphosphinic acid or ester
O=P([O][K])([O][K])[O][R],O=P(O[#19])(O[#19])O*,dipotassium phosphate ester
O=P([O][K])([O][K])OC[O][R],O=P(O[#19])(O[#19])OCO*,dipotassium glycol phosphate
O=P([O][R])([N]([R])[R])[N]([R])COO,O=P(O*)(N(*)*)N(*)COO,alkyl carboxyalkylamino phosphorodiamidate
O=S(=O)([O-])[O-],O=S(=O)([O&-])[O&-],sulfate dianion
C=C[S](=O)[R],C=CS(=O)*,vinyl sulfoxides sulfones derivatives
O=S(=O)(O)C=CO,O=S(=O)(O)C=CO,enol sulfonic acid
C=CS(=O)(=O)O,C=CS(=O)(=O)O,alkene sulfonic acid
C=CS(=O)(=O)[O][R],C=CS(=O)(=O)O*,vinyl sulfonate
O=[S](=O)([R])N=C[S][R],O=S(=O)(*)N=CS*,sulfonyl imino thioether
O=S(=O)(N=[S](=O)([R])[R])[N]([R])[O][R],O=S(=O)(N=S(=O)(*)*)N(*)O*,sulfonyl sulfoximine hydroxylamine
O=S(=O)([N]([R])[R])[N]([R])[O][R],O=S(=O)(N(*)*)N(*)O*,sulfamoyl hydroxylamine
O=S(=O)(O)O,O=S(=O)(O)O,sulfuric acid
O=[S](=O)([R])[N]([Na])Cl,O=S(=O)(*)N([#11])Cl,sulfonyl chloro sodium azanide
O=C([O][R])[N]([R])O[S](=O)(=O)[R],O=C(O*)N(*)OS(=O)(=O)*,sulfonyloxy carbamate
C=CC=C1SC(=S)N([N]([R])[S](=O)(=O)[R])C1=O,C=CC=C1SC(=S)N(N(*)S(=O)(=O)*)C1=O,diene sulfonamido thiadiazolidine
C=C[N]([R])[S](=O)(=O)[R],C=CN(*)S(=O)(=O)*,tertiary sulfonamide
O=[C]([R])[N]([R])S(=O)[O][R],O=C(*)N(*)S(=O)O*,sulfonamide ester
C=C[S](=O)([R])=N[S](=O)(=O)[R],C=CS(=O)(*)=NS(=O)(=O)*,sulfonyl sulfonimidoyl
C=C[S](=O)([R])=N[S](=O)[R],C=CS(=O)(*)=NS(=O)*,vinyl sulfonimidoyl sulfonyl
O=[S](=O)([R])n1ccsc1=[N][R],O=S(=O)(*)n1ccsc1=N*,sulfonylamino thiazolyl imine
O=[S](=O)([R])N=c1snc([S][R])[n]1[R],O=S(=O)(*)N=c1snc(S*)n1*,sulfonamidine thiadiazole thioether
C=CC=N[N]([R])C=N[S](=O)(=O)[R],C=CC=NN(*)C=NS(=O)(=O)*,vinyl hydrazone sulfonylimine
O=[S](=O)([R])[N]([R])C[N]([R])C[N]([R])C[N]([R])[S](=O)(=O)[R],O=S(=O)(*)N(*)CN(*)CN(*)CN(*)S(=O)(=O)*,tetramine bis sulfonamide
[R][N]=C([S][R])[N]([R])C[N]([R])[R],*N=C(S*)N(*)CN(*)*,thioamidine with tertiary amine chain
C=NN=C[S][R],C=NN=CS*,heterocyclic methylsulfanyl
OCO[B](O)[R],OCOB(O)*,boronic acid ester
O=C([O][R])C(=CO)OC[O][R],O=C(O*)C(=CO)OCO*,carboxylic acid enol ether dialkoxy
O=[C]([R])C=C(O)C(=O)O,O=C(*)C=C(O)C(=O)O,unsaturated hydroxy dicarboxylic acid
[R][S]C[N+]([R])([R])[R],*SC[N&+](*)(*)*,alpha sulfur ammonium
C=[N+]([O-])C(C(=O)O)[N](O)[R],C=[N&+]([O&-])C(C(=O)O)N(O)*,nitrone amino acid
C=CC(C=C[S][R])=[N][R],C=CC(C=CS*)=N*,vinyl vinylthio imine
C=C(O)C(=O)[N]([R])[R],C=C(O)C(=O)N(*)*,2-hydroxyacrylamide
O=C1C=CC([N]([R])[R])=C([N+](=O)[O-])C1=O,O=C1C=CC(N(*)*)=C([N&+](=O)[O&-])C1=O,nitro amino ortho quinone
O=[C]([R])[O][Pt]([Cl])([Cl])([O][C](=O)[R])([N]([R])[R])[N]([R])[R],O=C(*)O[#78](Cl)(Cl)(OC(=O)*)(N(*)*)N(*)*,platinum dichloro diamine dicarboxylate
C=CC=C[N]([R])[O][R],C=CC=CN(*)O*,dienyl n-oxy
C=C1SC(=O)N(C(=O)O)C1=O,C=C1SC(=O)N(C(=O)O)C1=O,5-alkylidene-3-carboxy-thiazolidinedione
C=CC=NOC(=O)O,C=CC=NOC(=O)O,vinylnitroso carbonate
C=CC(=O)C(=C)[O][R],C=CC(=O)C(=C)O*,vinyl ketone enol esters
O=C(O)C(=[N][R])[N]([R])[R],O=C(O)C(=N*)N(*)*,carboxyguanidine
C=CC(=O)C(=CO)C(=O)C=CO,C=CC(=O)C(=CO)C(=O)C=CO,linear conjugated diketone with enol groups
O=C(O)C(O)O,O=C(O)C(O)O,"2,2-dioxy carboxylic acid"
O=C(O)C(O)[N]([R])[C](=O)[R],O=C(O)C(O)N(*)C(=O)*,alpha hydroxy acylamino acid
O=P([O][Na])([O][R])OP(=O)([O][Na])OC[O][R],O=P(O[#11])(O*)OP(=O)(O[#11])OCO*,dna-like phosphodiester linkage
O=[C]([R])C(=CO)C(=O)C=CO,O=C(*)C(=CO)C(=O)C=CO,hydroxymethylidene dicarbonyl enol
O=[C]([R])[N]([R])C=C1C=NN=C1O,O=C(*)N(*)C=C1C=NN=C1O,hydroxy pyrazole enamide
OC=CO,OC=CO,enediol
O=[C]([R])C=C[N]([R])C=C[C](=O)[R],O=C(*)C=CN(*)C=CC(=O)*,bis enone amine
[R][N]1C=NC=NC1,*N1C=NC=NC1,s-triazine
OC[S][R],OCS*,alkyl sulfide with oxygen substituent
OC[N]([R])C=[N][R],OCN(*)C=N*,n-linked heterocyclic imine
C=CC(=O)C(=C)Cl,C=CC(=O)C(=C)Cl,alkenyl chlorovinyl ketone
C=C=[CH][Nar],C=C=[C&H1]n,heteroaryl allene
[R][O]C[N]([R])C[O][R],*OCN(*)CO*,n-oxyalkyl-n-oxyalkylamino
[R][N]([R])C=C[N]([R])[R],*N(*)C=CN(*)*,"1,2-diaminoethylene"
[R][O]C[S][Au],*OCS[#79],gold thiolate with alpha oxygen
O=C1C=CC(=O)C([N]([R])[R])=C1,O=C1C=CC(=O)C(N(*)*)=C1,amino para quinone
O=C1[N]([R])C[N]([R])C[N]1[R],O=C1N(*)CN(*)CN1*,triazine carbonyl ring
O=[C]([R])C([S][R])=C([S][R])[C](=O)[R],O=C(*)C(S*)=C(S*)C(=O)*,14 dicarbonyl 23 dithio
O=C1C([S][R])=C([S][R])C(=O)[N]1[R],O=C1C(S*)=C(S*)C(=O)N1*,thio substituted maleimide
O=[C]([R])N(CO)[C](=O)[R],O=C(*)N(CO)C(=O)*,N-hydroxymethyl imide
O=C1C([N]([R])C(=O)[N]([R])C[N]([R])C(=O)[N]([R])C2C(=O)[N]([R])C(=O)N2CO)N(CO)C(=O)[N]1[R],O=C1C(N(*)C(=O)N(*)CN(*)C(=O)N(*)C2C(=O)N(*)C(=O)N2CO)N(CO)C(=O)N1*,imidazolidinyl urea
C=C1SC(=S)N(CO)C1=O,C=C1SC(=S)N(CO)C1=O,3-hydroxymethyl rhodanine
S=C(N=[N][R])[N]([R])[N]([R])[R],S=C(N=N*)N(*)N(*)*,hydrazothiourea
O=[C]([R])[N]([R])[N]([R])C=S,O=C(*)N(*)N(*)C=S,acyl thiocarbamoyl hydrazine
S=C([S][R])[S][R],S=C(S*)S*,trithiocarbonates
S=C1[N]([R])CN(C=C[Si]([R])([R])[R])[N]1[R],S=C1N(*)CN(C=C[#14](*)(*)*)N1*,triazolthione vinylsilane
S=C[N]([R])C[N]([R])[R],S=CN(*)CN(*)*,thiocarbonyl diaminomethyl chain
S=P(N1CC1)(N1CC1)N1CC1,S=P(N1CC1)(N1CC1)N1CC1,tris-aziridinyl phosphine sulfide
S=P([N]([R])[R])(N1CC1)N1CC1,S=P(N(*)*)(N1CC1)N1CC1,bis aziridinyl thiophosphoramide
S=[P]([R])([O][R])[N]([R])[R],S=P(*)(O*)N(*)*,phosphoramidothioate
O=C(O)[N]([R])[R],O=C(O)N(*)*,carbamic acid
S=[P]([R])([S][R])[N]([R])[R],S=P(*)(S*)N(*)*,amino thioether phosphinothioyl
