smarts,cleaned_description
"[SX2]-[#6R1]2=,:[#7R1]-,:[#6R1]=,:[#6R1]-,:[#7R2]3-,:[#6R1](=O)-,:[#7R1]-,:[#7R1]=,:[#6R2]23",heteroarylsulfides
"[#6]=!@[#6]1~[#6]=,:[#6]-,:[!#6]~[#6;X3](~[!#6])-,:1",heterocycle exo double bond 1
"C=!@[#6]1~[#6;X3](~[#8;$(O=C),$(O-C=N),$(O-cn)])~[#7]-[#7]~[#6;X3](~[#8;$(O=C),$(O-C=N),$(O-cn)])~1",heterocycle exo double bond 2
"C=!@[#6]1~[#6;X3](~[#7,#8,#16v2])~[#7;X2]~[#6;X3;H1,$([#6]-[#6])]~[#8,#7&v3,#16v2]~1",heterocycle exo double bond 3
"C=!@[#6]1~[#6;X3](~[#16&v2])~[#7]~[#7]=,:[#6]~1",heterocycle exo double bond 4
"[#6]=!@[#6]1~[#6;X3](~[#8;$([#8]=[#6]),$([#8]-[#6]=,:[#7])])~[!#6]-,:[#7;X2]=,:[#6]-,:1",heterocycle exo double bond 5
"O=C(-[!N])O[$(nnn),$([#7]-[#7]=[#7])]",hobt ester
C1NC(=O)NC(=O)1,hydantoin
NN,hydrazine
O=C-!@N-!@N-!@C=O,hydrazine 1 2 diacyl acyclic
[CH1;R0]=[N;R0][N;R0],hydrazine aldehyde
[CH0]=[N;R0][N;R0],hydrazine ketone
N=NC(=S)N,hydrazothiourea
"c(-[O,N,S;!$(N[C,S]=O);H1,H2;R0])1ccc(-[O,N,S;!$(N[C,S]=O);H1,H2;R0])cc1",hydroquinone
C(=O)N[OH],hydroxamic acid
[#7]-[C;H2]-[O;H],hydroxy methyl amine
"[#7]O[#6,#16]=O",hydroxyl amine ester
[#6;!$([#6]=[!#6])]-[OH],hydroxyl count 6
O=S(*)OF,hypofluorous sulfinic anhydride foso
"[F,Cl,Br,I]-[#6;$(c1[n;X2]aa[a;!c]1),$(C1=N[#7]-,:[#6](=,:[#8,#7&v3,#16&v2])-,:[#7&v3,#16&v2,#8]-1),$(C1=N-[#8,#7&v3,#16&v2]-,:[#8,#7&v3,#16&v2]-,:[#6]1=,:[#8,#7&v3,#16&v2]),$(C1=N-[#6](=,:[#8,#7&v3,#16&v2])-,:[#8,#7&v3,#16&v2]-,:[#8,#7&v3,#16&v2]-1)]=,:[#7;X2]",imidazol 2 halogenated
"O=[#6]-,:[#8]-,:[#6]=,:[#7&X2,+1]",imidic anhydrides
"[#6,#8,#16]-C(=[NH1])[#6,#8,#16]",imine nonterminal
"[#6,#8,#16]-[CH1]=[NH1]",imine terminal
"[F,Cl,Br,I]-[C;!$(C1=N[#7]-,:[#6](=,:[#8,#7&v3,#16&v2])-,:[#7&v3,#6&X3]=,:[#7&v3,#6&X3]-1);!$(C1=N[#7]-,:[#6](=,:[#8,#7&v3,#16&v2])-,:[#7&v3,#16&v2,#8]-1);!$(C1=N-[#8,#7&v3,#16&v2]-,:[#8,#7&v3,#16&v2]-,:[#6]1=,:[#8,#7&v3,#16&v2]);!$(C1=N-[#6](=,:[#8,#7&v3,#16&v2])-,:[#8,#7&v3,#16&v2]-,:[#8,#7&v3,#16&v2]-1);!$(C1=N-[#6](=,:[#8,#7&v3,#16&v2])-,:[#8,#7&v3,#16&v2]-,:[#7&v3,#6&X3]=,:[#7&v3,#6&X3]-1);!$(C1=N-[#6](=,:[#8,#7&v3,#16&v2])-,:[#7&v3,#6&X3]=,:[#7&v3,#6&X3]-,:[#8,#7&v3,#16&v2]-1);!$(C1=N-[#6]=,:[#6]-[#8,#7&v3,#16&v2]-,:[#6]1=,:[#8,#7&v3,#16&v2])]=N",imine halogenated
[#6]-1=[!#1]-[!#6&!#1]-[#6](-[#6]-1=[!#6&!#1;!R])=[#8],imine one five membered
[#8]=[#6]-2-[#6](=!@[#7]-[#7])-c:1:c:c:c:c:c:1-[#7]-2,imine one isatin
[#6]-1(-[#6](=[#8])-[#7]-[#6](=[#8])-[#7]-[#6]-1=[#8])=[#7],imine one six membered
"[n;!H0,$(n-[#6;!H0;!H1])]:1(c(c(c:2:c:1:c:c:c:c:2-[#1])-[#6;X4]-[#1])-[$([#6](-[#1])-[#1]),$([#6]=,:[!#6&!#1]),$([#6](-[#1])-[#7]),$([#6](-[#1])(-[#6](-[#1])-[#1])-[#6](-[#1])(-[#1])-[#7](-[#1])-[#6](-[#1])-[#1])])",indol 3yl alkyl
"c12-,:[#6](=O)-,:[#6](-c3ccccc3)~[#6]-,:[#8]-,:c1cccc2",iso flavonoid
"[#7]=,#[#6;$([#6](#[#7+])-[#8-,#16-]),$([#6](=[#7])=[#8,#16])]=,-[#8,#16;X1]",isocyanate
[#6;-1;X1]#[#7;+1;X2],isontrile
[13#6],isotope c13
[14#6],isotope c14
[125#53],isotope i125
[15#7],isotope n15
[16#7],isotope n16
[17#8],isotope o17
[18#8],isotope o18
[35#16],isotope s35
[3#1],isotope t
"[C;X4,H]OC([C;X4,H])(O[C;X4,H])[C;X4]",ketals  or acetals
C=C=O,ketene
"[#6]-[C!$(C1-,:[#6&X3,#7&v3]=,:[#6&X3,#7&v3]-,:[#7&v3,#16&v2,#8]-,:[#6&X3,#7&v3]=,:[#6&X3,#7&v3]-,:1);!$(C1-,:[#6&X3,#7&v3]=,:[#6&X3,#7&v3]-,:[#6&X3,#7&v3]=,:[#6&X3,#7&v3]-,:[#7&v3,#16&v2,#8]-,:1);!$(C1-,:[#7&v3,#16&v2,#8]-C(=[#7&v3,#16&v2,#8])-,:[#6&X3,#7&v3]=,:[#6&X3,#7&v3]-,:[#7&v3,#16&v2,#8]-,:1);!$(C1-,:[#7&v3,#16&v2,#8]-C(=[#7&v3,#16&v2,#8])-,:[#7&v3,#16&v2,#8]-,:[#6&X3,#7&v3]=,:[#6&X3,#7&v3]-,:1);!$(C1-,:[#7&v3,#16&v2,#8]-C(=[#7&v3,#16&v2,#8])-,:[#7&v3,#16&v2,#8]-,:[#7&v3,#16&v2,#8]-C(=[#7&v3,#16&v2,#8])-,:1)](-[#6])=!@[N;!$(N~[#7,#8])]",ketimines acyclic
"C(=O)-[CH;$(C=O),$(C(-[OH])-[OH])]",keto aldehyde or acetal
c:1-2:c(:c:c:c:c:1)-[#6](=[#8])-[#6;X4]-[#6]-2=[#8],keto keto beta
O=COn1cncc1 ,labile ester 2
P(=S)(S)S,lawessons reagent and derivatives
"C~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@C-OP(=O)(-[O-,OH])-O-[CH2]-[CH2]-N",lipid phospho 1
"C~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@C-O-[CH2]-!@[CH](-O)-!@[CH2]-OP(=O)(-[O-,OH])-O-[CH2]-[CH2]-N",lipid phospho 2
"[CH2;R0]-[CH2;R0]-[CH2;R0]-[CH2;R0]-[CH2;R0]-[CH2;R0]-[CH2,CH3;R0]",long chain aliphatic
"*-!@[CH2,$([CH]-[CH3]),$([C](-[CH3])-[CH3]),NH&v3,$([N&v3]-[CH3]),O,S&v2]-!@[CH2,$([CH]-[CH3]),$([C](-[CH3])-[CH3]),NH&v3,$([N&v3]-[CH3]),O,S&v2]-!@[CH2,$([CH]-[CH3]),$([C](-[CH3])-[CH3]),NH&v3,$([N&v3]-[CH3]),O,S&v2]-!@[CH2,$([CH]-[CH3]),$([C](-[CH3])-[CH3]),NH&v3,$([N&v3]-[CH3]),O,S&v2]-!@[CH2,$([CH]-[CH3]),$([C](-[CH3])-[CH3]),NH&v3,$([N&v3]-[CH3]),O,S&v2]-!@[CH2,$([CH]-[CH3]),$([C](-[CH3])-[CH3]),NH&v3,$([N&v3]-[CH3]),O,S&v2]-!@*",long chain flexible c
O=C(N1)[C;H1]=[C;H1]C1=O,maleimides
[OH]-c1ccccc1-[C;X4;R0](-[N;v3])-c,mannich base phenolic
O=C1OC(C)(C)OC(C1)=O,meldrums acid deriv
[c]1:[c]2:[c](-[#6](=[#8])-[#6]=[#6](-[#16])-[#16]2):[c]:[c]:[c]1,mercapto thiochromenone
"[CH3]-[c;$(cc([CH3])c([CH3])c[CH3]),$(cc([CH3])c([CH3])cc[CH3]),$(cc([CH3])cc([CH3])c[CH3])]",methyl group count aromatic ring
[#6]=[#6]1-[#16&v2]-[C;X4]-[#7&v3]-[C;X4]-[#7&v3]-1,methylene 1 3 5 thiadiazines
"[S&v2]-[#6]1-,:[#16&v2]-,:[#6]=,:[#6]-,:[#6](=[#8])-,:[#6]=,:1",methylsulfanyl thiopyranone
"[#6,#7]-&!@[#6](=&!@[CH])-&!@C(=O)-&!@[C,N,O,S]",michael acceptor 1
"[a;$(a1:[a;!$(a=*)]:[a;!$(a=*)]:[a;!$(a=*)]:[a;!$(a=*)]:[a;!$(a=*)]:1),$(a1:[a;!$(a=*)]:[a;!$(a=*)]:[a;!$(a=*)]:[a;!$(a=*)]:1)]-[C;!$(C~[#7,#8,#16,F,Cl,Br,I]);!$([#6]1=[#6]-[#6,#7&v3]=,:[#6,#7&v3]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6,#7&v3]=,:[#6,#7&v3]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#6,#7&v3]=,:[#6,#7&v3]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6](=[#8,#7&v3,#16&v2])-[#8,#7&v3,#16&v2]-1)]=[C;!$([#6]1=[#6]-[#6,#7&v3]=,:[#6,#7&v3]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6,#7&v3]=,:[#6,#7&v3]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#6,#7&v3]=,:[#6,#7&v3]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6](=[#8,#7&v3,#16&v2])-[#8,#7&v3,#16&v2]-1)](-[$([#6;H1]=[#8,#16]),$([#7,#15,#16]=[#8])])-[$([#6;H1]=[#8,#16]),$([#7,#15,#16]=[#8])]",michael acceptor 2
"[CH2]=[C!$(C(-[$([#6]=[#8,#16]),$([#7,#15,#16]=[#8]),$(C#N),$(C(F)(F)F)])-[$([#6]=[#8,#16]),$([#7,#15,#16]=[#8]),$(C#N),$(C(F)(F)F)])]-[$([#6]=[#8,#16]),$([#7,#15,#16]=[#8]),$(C#N),$(C(F)(F)F)]",michael acceptor ch2 terminal
"[C;!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6](=[#8,#7&v3,#16&v2])-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#6,#7&v3]=,:[#6,#7&v3]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6,#7&v3]=,:[#6,#7&v3]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-1)]=[C;!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6](=[#8,#7&v3,#16&v2])-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#6,#7&v3]=,:[#6,#7&v3]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6,#7&v3]=,:[#6,#7&v3]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6,#7&v3]=,:[#6,#7&v3]-1);!$([#6]1=[#6]-[#6,#7&v3]=,:[#6,#7&v3]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-1)](-[$([#6]=[#8,#16]),$([#7,#15,#16]=[#8]),$(C#N),$(C(F)(F)F)])-[$([#6]=[#8,#16]),$([#7,#15,#16]=[#8]),$(C#N),$(C(F)(F)F)]",michael acceptor double act
"[$(N#C-C#C[C,c]),$(C#C-[CH]=O),$(C(#C-C(=O)-[C,c]))] ",michael acceptor 3
[#7;R1]1~[#7;R1]~[#7;R1](-C(=O))~[#6]~[#6]1,n acyl 123 triazole
[#7]1~[#7]~[#6]~[#7](-C(=O)[!N])~[#6]1,n acyl 134 triazole
s1c(S)nnc1NC=O,n acyl 2 amino 5 mercapto 1 3 4 thiadiazole
c1nnnn1C=O,n amido tetrazole
n[OH],n hydroxyl  pyridine
O=C1-[#6]~[#6]-C(=O)N1-O-C=O,n hydroxyl imide ester
"[#16&v2&R0]=,-[#6;$([#6](=[#16&v2])-[#7]-[#16&v2]),$([#6](-[#16&v2])=[#7]-[#16&v2]),$(c1nsaa1),$(c1nsaaa1)]~[#7]-,:[#16&v2]",n mercapto thioamide
[#6]-[N;!$([N+](=O)-[O-]);!$([N](=O)=O);!$([N]-[#6]=O)]-[OX2],n o single bond
[#7;+1;X3;!$([#7;+1](=[#8])-[#8;-1]);!$([#7;+1](#[#6])-[#8;-1])]-[#8;-1],n oxide sp2
[#7;+1;X3;!$([#7;+1](=[#8])-[#8;-1]);!$([#7;+1](#[#6])-[#8;-1])]-[#8;-1],n oxide sp2 count 2
"[N;X4;$([N+]-[O-]),$(N(=O)([#6])([#6])-[#6])]",n oxides
"[$(c1[nv3X2][c,n][c,n,s][c,n]1),$(c2[nv3X2][c,n][c,n][c,n][c,n]2)]-[$(c1[nv3X2][c,n][c,n,s][c,n]1),$(c2[nv3X2][c,n][c,n][c,n][c,n]2)]",nccn potential chelating
[S-],negativly charged sulfur
[#8]-[#7](~[#8;X1])~[#8;X1],nitrate
C#[N+]-[O-],nitrile n oxide
[#6]-[N;X3](~[O;X1])~[O;X1],nitro count 1
[#6]-[N;X3](~[O;X1])~[O;X1],nitro count 2
[#6]-[N;X3](~[O;X1])~[O;X1],nitro count 3
C[N+](=O)[O-],nitroalkane
"c1ccc(n[o,s]n2)c2c1[N+](=O)[O-]",nitrobenz azadiazole
[N+]([O-])(=C)-* ,nitrone
[#7;X2;!$([#7]-[#7v3])]=[#8],nitroso simple
"[#16&v2,#15]-!@[#7&X3,#15&X3]",np sp pp single bond acyclic
"[O,S][C!R]C(-[CX4&R1,O]1)[CX4][CX4][CX4&R1]1-[#7;$([#7;R1]2-,:[#6;R1](=O)-,:[#7,R1]=,:[#6,R1](-[N&H2,N&H1,O&H1])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:2),$([#7;R1]2-,:[#6;R1](=O)-,:[#7,R1;H1]-,:[#6,R1](=[N,O])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:2),$([#7;R1]2-,:[#6;R1](-[OH])=,:[#7,R1]-,:[#6,R1](=[N,O])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:2)]",nucleoside 1
"[O,S][C!R]C(-[CX4&R1,O]1)[CX4][CX4][CX4&R1]1-[#7;$([#7]2-,:[#6]3=,:[#7,#6;R1]-,:[#7,#6;R1]=,:[#7]-,:[#6](-[NH2,NH,OH])=,:[#6]-,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2),$([#7]2-,:[#6]3-,:[#7,#6;R1]=,:[#7,#6;R1]-,:[#7;H1]-,:[#6](=[NH,O])-,:[#6]=,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2),$([#7]2-,:[#6]3-,:[#7,#6;R1]-,:[#6](=[O,NH])-,:[#7;H1]-,:[#6](=[NH,O])-,:[#6]=,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2),$([#7]2-,:[#6]3-,:[#7,#6;R1]-,:[#6](=[O,NH])-,:[#7]=,:[#6](-[NH2,NH,OH])-,:[#6]=,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2)]",nucleoside 2
"O=P1O[CX4&R1][CX4&R2](-[CX4&R1,O]2)[CX4&R2](-O1)[CX4&R1][CX4&R1]2-[#7;$([#7;R1]3-,:[#6;R1](=O)-,:[#7,R1]=,:[#6,R1](-[N&H2,N&H1,O&H1])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:3),$([#7;R1]3-,:[#6;R1](=O)-,:[#7,R1;H1]-,:[#6,R1](=[N,O])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:3),$([#7;R1]3-,:[#6;R1](-[OH])=,:[#7,R1]-,:[#6,R1](=[N,O])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:3)]",nucleoside 3
"O=P1O[CX4&R1][CX4&R2](-[CX4&R1,O]2)[CX4&R2](-O1)[CX4&R1][CX4&R1]2-[#7;$([#7]3-,:[#6]4=,:[#7,#6;R1]-,:[#7,#6;R1]=,:[#7]-,:[#6](-[NH2,NH,OH])=,:[#6]-,:4-,:[#7,#6;R1]=,:[#6,#7;R1]-,:3),$([#7]3-,:[#6]4-,:[#7,#6;R1]=,:[#7,#6;R1]-,:[#7;H1]-,:[#6](=[NH,O])-,:[#6]=,:4-,:[#7,#6;R1]=,:[#6,#7;R1]-,:3),$([#7]3-,:[#6]4-,:[#7,#6;R1]-,:[#6](=[O,NH])-,:[#7;H1]-,:[#6](=[NH,O])-,:[#6]=,:4-,:[#7,#6;R1]=,:[#6,#7;R1]-,:3),$([#7]3-,:[#6]4-,:[#7,#6;R1]-,:[#6](=[O,NH])-,:[#7]=,:[#6](-[NH2,NH,OH])-,:[#6]=,:4-,:[#7,#6;R1]=,:[#6,#7;R1]-,:3)]",nucleoside 4
"[O,S][C!R]C(-[CX4&R1,O][CX4&R1]1)[CX4&R1][CX4&R1][CX4&R1]1-[#7;$([#7;R1]2-,:[#6;R1](=O)-,:[#7,R1]=,:[#6,R1](-[N&H2,N&H1,O&H1])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:2),$([#7;R1]2-,:[#6;R1](=O)-,:[#7,R1;H1]-,:[#6,R1](=[N,O])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:2),$([#7;R1]2-,:[#6;R1](-[OH])=,:[#7,R1]-,:[#6,R1](=[N,O])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:2)]",nucleoside 5
"[O,S][C!R]C(-[CX4&R1,O][CX4&R1]1)[CX4&R1][CX4&R1][CX4&R1]1-[#7;$([#7]2-,:[#6]3=,:[#7,#6;R1]-,:[#7,#6;R1]=,:[#7]-,:[#6](-[NH2,NH,OH])=,:[#6]-,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2),$([#7]2-,:[#6]3-,:[#7,#6;R1]=,:[#7,#6;R1]-,:[#7;H1]-,:[#6](=[NH,O])-,:[#6]=,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2),$([#7]2-,:[#6]3-,:[#7,#6;R1]-,:[#6](=[O,NH])-,:[#7;H1]-,:[#6](=[NH,O])-,:[#6]=,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2),$([#7]2-,:[#6]3-,:[#7,#6;R1]-,:[#6](=[O,NH])-,:[#7]=,:[#6](-[NH2,NH,OH])-,:[#6]=,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2)]",nucleoside 6
"[O,S][C!R][CX4;R1;r6,r7][OR1;r6,r7][CX4;R1;r6,r7;$(C1OCCCC1),$(C1OCC=CC1),$(C1OCCC=C1),$(C1OCCCCC1)]!@[#7;$([#7;R1]2-,:[#6;R1](=O)-,:[#7,R1]=,:[#6,R1](-[N&H2,N&H1,O&H1])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:2),$([#7;R1]2-,:[#6;R1](=O)-,:[#7,R1;H1]-,:[#6,R1](=[N,O])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:2),$([#7;R1]2-,:[#6;R1](-[OH])=,:[#7,R1]-,:[#6,R1](=[N,O])-,:[#6,#7;R1]=,:[#6,#7;R1]-,:2)]",nucleoside 7
"[O,S][C!R][CX4;R1;r6,r7][OR1;r6,r7][CX4;R1;r6,r7;$(C1OCCCC1),$(C1OCC=CC1),$(C1OCCC=C1),$(C1OCCCCC1)]!@[#7;$([#7]2-,:[#6]3=,:[#7,#6;R1]-,:[#7,#6;R1]=,:[#7]-,:[#6](-[NH2,NH,OH])=,:[#6]-,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2),$([#7]2-,:[#6]3-,:[#7,#6;R1]=,:[#7,#6;R1]-,:[#7;H1]-,:[#6](=[NH,O])-,:[#6]=,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2),$([#7]2-,:[#6]3-,:[#7,#6;R1]-,:[#6](=[O,NH])-,:[#7;H1]-,:[#6](=[NH,O])-,:[#6]=,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2),$([#7]2-,:[#6]3-,:[#7,#6;R1]-,:[#6](=[O,NH])-,:[#7]=,:[#6](-[NH2,NH,OH])-,:[#6]=,:3-,:[#7,#6;R1]=,:[#6,#7;R1]-,:2)]",nucleoside 8
[#8]=[#15]-[#6]#[#7],organo phospho cyanide
N#CccC#N,ortho di cyano aromate
"[#6]1(-O-[C;!R](=[O,N;!R]))[#6]([$(N(=O)(=O)),$([N+](=O)[O-])])[#6][#6][#6][#6]1",ortho nitrophenyl carbonyl
c(C([C;H3])([C;H3])[C;H3])1c([OH1])c(C([C;H3])([C;H3])[C;H3])ccc1,o-tertbutylphenol
N-C(=O)-!@C(=O)-N,oxalic acid diamide count
"C1~[O,S]~N1",oxaziridine
O1C=CC=CC=C1,oxepine
C=N[OH],oxim
O=C-!@[O]-!@[N]=!@[#6],oxim ester
C1(=O)C=CCSC=C1,oxobenzothiepine
"[O;$(O1OCOC1),$(O1OOCC1)]",ozonide
"O=[N+](-[O-])-caac-[$(N(C)C),$([NH]C),$([NH2])]",para nitro arylamines
"[#6]1(-O(-[C;!R](-[!N])(=[O,N;!R])))[#6][#6][#6]([$(N(=O)(=O)),$([N+](=O)[O-])])[#6][#6]1",para nitrophenyl ester
C(=O)Oc1ccc([N+](=O)[O-])cc1,paranitrophenyl esters
"[C!r3!r4!r5!r6!r7!r8!r9](=O)-NC[C!r3!r4!r5!r6!r7!r8!r9](=O)[N;!$([NH2]);!$(NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N);!$(NCC[C!r3!r4!r5!r6!r7!r8!r9](=O)N);$(N-;!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@A!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N)]",peptide analogue 01
"[C!r3!r4!r5!r6!r7!r8!r9](=O)-NCC[C!r3!r4!r5!r6!r7!r8!r9](=O)[N;!$([NH2]);!$(NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N);!$(NCC[C!r3!r4!r5!r6!r7!r8!r9](=O)N);$(N-;!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N),$(N-;!@A!@A!@A!@A!@A!@A!@A!@C-;!@[C!r3!r4!r5!r6!r7!r8!r9](=O)NC[C!r3!r4!r5!r6!r7!r8!r9](=O)N)]",peptide analogue 02
